bor-meld-label,bor-meld-uri,mapping,imbor-uri,imbor-property,imbor-domeinwaarde,
Abri,https://data.crow.nl/bor-meld/def/51505657-b8b7-4998-bf70-1959d9ebfe50,owl:equivalentClass,https://data.crow.nl/imbor/def/c4522e75-7f0b-4bbe-a3c7-e93f34cc8b3,,,
Afsluitpaal,https://data.crow.nl/bor-meld/def/68711c51-2a0a-4c01-b833-72899a04a612,owl:equivalentClass,https://data.crow.nl/imbor/def/d3bf7f42-b972-4aa3-ba33-732755e997db,,,
Afvalbak,https://data.crow.nl/bor-meld/def/77c313e4-76b9-4085-b0c0-2220e1bf6512,owl:equivalentClass,https://data.crow.nl/imbor/def/58ef1415-6acb-412b-9c3e-e390bb2ae3b3,,,
APV-bord,https://data.crow.nl/bor-meld/def/8869ec9a-97ef-492f-8ae7-98ebc18056da,owl:equivalentClass,https://data.crow.nl/imbor/def/69d56930-9d78-473d-9c02-9b0a7e346a5c,,,
Armatuur,https://data.crow.nl/bor-meld/def/ccb41768-bb8a-48f7-a3e9-91b92604126e,owl:equivalentClass,https://data.crow.nl/imbor/def/38a36b34-a593-499d-b210-0c48fb40ca3b,,,
Band,https://data.crow.nl/bor-meld/def/e316bb3b-37f1-45b7-bfc1-b68a9194627e,owl:equivalentClass,https://data.crow.nl/imbor/def/17036cd0-5b49-4923-a3f7-856ce8275dc2,,,
Beschoeiing,https://data.crow.nl/bor-meld/def/90c09573-3a15-455b-b5f2-f4716c053811,owl:equivalentClass,https://data.crow.nl/imbor/def/83dc8dbc-9b35-4c80-aad1-890d5972478e,,,
Bladkorf,https://data.crow.nl/bor-meld/def/6ba20271-0bac-4d36-9487-df3754909e63,owl:equivalentClass,https://data.crow.nl/imbor/def/b76231c5-3e6d-4ead-a7ec-1ddb2402e469,,,
Blok,https://data.crow.nl/bor-meld/def/bcff6f01-bd88-4d66-93ef-ba1b35ff22c1,owl:equivalentClass,https://data.crow.nl/imbor/def/31b6eecd-e16c-47ca-bf9d-4dcd7fc76ac8,,,
Boom,https://data.crow.nl/bor-meld/def/3e690517-e941-4be1-929d-7519676a7099,owl:equivalentClass,https://data.crow.nl/imbor/def/83a942f7-5291-42f0-afb1-9a57d0fb2f15,,,
