id	ObjecttypeVanID	AttribuutVan1ID	DomeinwaardeVan1ID	AttribuutVan2ID	DomeinwaardeVan2ID	AttribuutVan3ID	DomeinwaardeVan3ID	AttribuutVan4ID	DomeinwaardeVan4ID	InformatiemodelNaarID	ObjecttypeNaarID	AttribuutNaar1ID	DomeinwaardeNaar1ID	AttribuutNaar2ID	DomeinwaardeNaar2ID	AttribuutNaar3ID	DomeinwaardeNaar3ID	Toelichting
1744	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_28									IMGeo	Bak (IG)	plus-type	afvalbak 					
1745	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_29									IMGeo	Bak (IG)	plus-type	bloembak 					
1746	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_30									IMGeo	Bak (IG)	plus-type	container 					
1747	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_31									IMGeo	Bak (IG)	plus-type	drinkbak 					
1749	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_794									IMGeo	Bak (IG)	plus-type	zand- / zoutbak					
1750	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_30	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_10069							IMGeo	Bak (IG)	plus-type	afval apart plaats 					
1751	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_326									IMGeo	Bord (IG)	bor-type	klok					
1752	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_643									IMGeo	Bord (IG)	bor-type	pictogram					
1753	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_587									IMGeo	Bord (IG)	plus-type	scheepvaartbord 					
1754	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_38									IMGeo	Bord (IG)	plus-type	reclamebord 					
1755	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_41									IMGeo	Bord (IG)	plus-type	verkeersbord 					
1756	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_36									IMGeo	Bord (IG)	plus-type	informatiebord 					
1757	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_41	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_9737	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_257	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_8889					IMGeo	Bord (IG)	plus-type	waarschuwingshek 					
1758	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_433	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4129							IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	fruitteelt					
1759	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_433	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4133							IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	heide					
1760	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_433	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4134							IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	houtwal					
1761	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_433	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4135							IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	kwelder					
1762	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_433	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4136							IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	loofbos					
1763	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_433	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4137							IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	moeras					
1764	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_433	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4138							IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	naaldbos					
1765	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_433	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4139							IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	rietland					
1766	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_433	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4128							IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	duin					
1767	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_433	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4127							IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	bouwland					
1768	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_402									IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	groenvoorziening					
1769	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_433	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4141							IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	struiken					
1770	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_433	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4126							IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	boomteelt					
1771	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_433	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4130							IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	gemengd bos					
1772	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_433	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4131							IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	grasland agrarisch					
1773	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_433	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4132							IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	grasland overig					
1774	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_402	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_3817							IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	groenvoorziening	plus-fysiekVoorkomen	groenvoorziening: heesters			
1775	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_402	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4122							IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	groenvoorziening	plus-fysiekVoorkomen	groenvoorziening: struikrozen			
